delta_t_min,incl_deg,raan_deg,ecc,argp_deg,M_deg,mean_motion_rev_per_day,x_sgp4,y_sgp4,z_sgp4,vx_sgp4,vy_sgp4,vz_sgp4
195.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-30275.965237719363,-2772.8408161734997,35579.06686517096,-0.945060880544487,-2.1426529332064184,2.5722734008354036
200.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-30554.433017930725,-3415.392588520907,36345.04138019179,-0.910459734087016,-2.139131716383103,2.531358135122342
205.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-30822.72891416894,-4056.806653972594,37098.915845753305,-0.8772678834236152,-2.135089368754248,2.491636783796666
210.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-31081.26304974624,-4696.935120512482,37841.04030721054,-0.8454004502000705,-2.130581351959776,2.453054554917385
215.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-31330.42107182251,-5335.645823702325,38571.748825548406,-0.8147791278240375,-2.125657148100759,2.4155597007457543
220.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-31570.56603155682,-5972.820642099454,39291.360366510715,-0.7853315759934202,-2.120360975039857,2.3791033541409403
225.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-31802.040092148218,-6608.35401271995,40000.17964091696,-0.756990878230837,-2.114732406694548,2.343639367356223
230.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-32025.166082600892,-7242.151620141904,40698.4978972051,-0.7296950553459923,-2.1088069121650967,2.3091241552171895
235.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-32240.248913038136,-7874.129236721303,41386.59366773302,-0.703386628558392,-2.1026163253578205,2.275516544015854
240.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-32447.576865631298,-8504.211694545202,42064.733470691805,-0.6780122267447715,-2.0961892549474563,2.2427776269719715
245.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-32647.422773633552,-9132.33197253372,42733.17246968615,-0.6535222329179348,-2.089551443011296,2.210870626755042
250.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-32840.04509963458,-9758.430384370624,43392.15509314179,-0.6298704656184287,-2.082726079403202,2.1797607652976416
255.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-33025.688922939546,-10382.453854879876,44041.91561573876,-0.6070138914072268,-2.075734077877415,2.149415140939594
260.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-33204.586844879464,-11004.355274203655,44682.67870405993,-0.5849123650882514,-2.0685943190856784,2.1198026128057195
265.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-33376.959819935175,-11624.092920465157,45314.659928597765,-0.5635283946875761,-2.061323864822554,2.0908936922241796
270.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-33543.01791969044,-12241.6299429101,45938.06624419856,-0.542826928554952,-2.0539381472660745,2.0626604409273073
275.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-33702.96103590888,-12856.933898477411,46553.09644093079,-0.5227751622614499,-2.046451136427422,2.0350763757353807
280.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-33856.979528351345,-13469.976335721782,47159.94156728102,-0.5033423632289005,-2.0388754885739924,2.008116379398717
285.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-34005.254822388466,-14080.7324207051,47758.78532747063,-0.4844997112653685,-2.0312226780067797,1.981756617262045
290.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-34147.95996092116,-14689.180600217984,48349.80445459351,-0.4662201533821578,-2.023503114248848,1.9559744594121509
295.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-34285.260114688,-15295.302298189434,48933.16906116672,-0.4484782714536769,-2.0157262464233847,1.9307484079740893
300.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-34417.31305460685,-15899.081641712366,49509.042968594375,-0.431250161436804,-2.0079006563638413,1.90605802922979
305.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-34544.26958945959,-16500.5052134706,50077.58401694065,-0.4145133230112425,-2.000034141795128,1.8818838902451016
310.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-34666.273971879345,-17099.561827801157,50638.94435632162,-0.3982465586221894,-1.99213379075175,1.858207499705118
315.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-34783.464275327315,-17696.242327908414,51193.27072113667,-0.382429881018693,-1.9842060482487185,1.8350112526729971
320.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-34895.97274449837,-18290.53940201355,51740.70468827393,-0.3670444284787269,-1.976256776092309,1.8122783790034445
325.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-35003.92612132978,-18882.447416546343,52281.38292035,-0.3520723869934254,-1.9682913066074088,1.789992895157903
330.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-35107.44594861938,-19471.962264624643,52815.43739496926,-0.3374969187632771,-1.960314490961325,1.768139559184467
335.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-35206.648853052124,-20059.08122830249,53342.99562091699,-0.3233020964235407,-1.9523307426813732,1.746703828641046
340.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-35301.646809280646,-20643.802853217803,53864.18084214049,-0.3094728424770189,-1.9443440768911424,1.7256718212550202
345.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-35392.547386544284,-21226.1268344358,54379.11223030859,-0.2959948734640791,-1.936358145727933,1.7050302781270568
350.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-35479.45397918027,-21806.053912412513,54887.90506668751,-0.282854648447235,-1.928376270349155,1.6847665293000662
355.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-35562.466022285415,-22383.585778070443,55390.6709140155,-0.2700393214319401,-1.9204014698876477,1.6648684615272082
360.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-35641.679193631586,-22958.72498616879,55887.51777901601,-0.2575366973779878,-1.9124364876748805,1.6453244880845164
365.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-35717.185602883175,-23531.474876155837,56378.550266137405,-0.2453351914936416,-1.904483815014167,1.6261235204852809
370.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-35789.07396904158,-24101.839499839316,56863.86972307309,-0.2334237915310171,-1.8965457127544667,1.6072549419633806
375.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-35857.42978700793,-24669.82355520208,57343.57437857347,-0.2217920228319324,-1.888624230886976,1.5887085826027274
380.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-35922.33548402441,-25235.432325844755,57817.75947302389,-0.2104299158924347,-1.8807212263627853,1.5704746959990423
385.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-35983.87056673429,-25798.67162552913,58286.5173822377,-0.1993279762392999,-1.8728383793076488,1.552543937348243
390.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36042.11175952017,-26359.547747367644,58749.93773487159,-0.1884771564294356,-1.8649772077912177,1.534907342863978
395.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36097.13313474149,-26918.067417237948,59208.10752385393,-0.1778688300013312,-1.8571390812910191,1.517556310433585
400.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36149.00623541704,-27474.237751068984,59661.11121218065,-0.1674947672215212,-1.8493252329768708,1.5004825814286906
405.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36197.80019088946,-28028.066215637697,60109.03083341667,-0.1573471124853725,-1.8415367709279256,1.4836782235927213
410.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36243.58182592122,-28579.56059260543,60551.94608721267,-0.1474183632410322,-1.8337746883832609,1.467135614933243
415.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36286.4157636967,-29128.728945473144,60989.934430130466,-0.1377013503208275,-1.826039873116115,1.4508474285523938
420.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36326.36452310521,-29675.579589244782,61423.07116204827,-0.1281892195702991,-1.818333116013139,1.4348066183534354
425.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36363.48861069555,-30220.121062549504,61851.429508399655,-0.1188754146774327,-1.8106551189315312,1.419006405566027
430.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36397.84660764717,-30762.36210202067,62275.080698484955,-0.1097536611118931,-1.803006501899743,1.4034402660368182
435.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36429.49525207356,-31302.311618747623,62694.09404007693,-0.1008179510914346,-1.795387809720976,1.388101918235952
440.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36458.4895169535,-31839.978676629915,63108.53699052684,-0.0920625294999106,-1.7877995180328763,1.37298531193349
445.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36484.882683983,-32375.372472460676,63518.47522456899,-0.0834818806884603,-1.7802420388715157,1.358084617503009
450.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36508.7264135732,-32908.50231762844,63923.97269900301,-0.0750707160945627,-1.772715725783373,1.3433942158127532
455.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36530.07081125898,-33439.37762127633,64325.0917144248,-0.0668239626220808,-1.7652208785246242,1.328908688667404
460.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36548.96449071648,-33968.00787482789,64721.89297416875,-0.0587367517272208,-1.7577577473834436,1.3146228097660817
465.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36565.45463362424,-34494.40263773288,65114.43564060779,-0.0508044091626188,-1.7503265371576615,1.300531536144749
470.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36579.5870465082,-35018.57152439425,65502.77738895515,-0.0430224453312384,-1.7429274108171178,1.2866300000731232
475.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36591.406214803385,-35540.524192120196,65886.97445869794,-0.0353865462110847,-1.7355604928773356,1.2729135013785042
480.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36600.95535426054,-36060.27033006237,66267.08170278798,-0.0278925648099268,-1.728225872508684,1.259377500170593
485.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36608.27645986762,-36577.81964904416,66643.15263470619,-0.0205365131151683,-1.7209236064030806,1.2460176099432891
490.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36613.410352417166,-37093.18187222374,67015.23947351001,-0.0133145545051341,-1.713653721418243,1.2328295910309366
495.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36616.39672287014,-37606.3667265097,67383.39318696749,-0.0062229965920102,-1.7064162170177082,1.219809344398125
500.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36617.27417462636,-38117.38393468819,67747.6635328753,0.0007417155325609,-1.6992110675232797,1.206952905743363
505.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36616.08026383041,-38626.243208191496,68108.09909865078,0.0075830056748527,-1.692038224195062,1.1942564398984536
510.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36612.85153780701,-39132.954240478866,68464.74733928675,0.0143041725644215,-1.6848976171529138,1.1817162355063526
515.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36607.62357175151,-39637.52670095626,68817.65461374717,0.020908395548847,-1.6777891571520085,1.1693286999616357
520.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36600.43100373996,-40139.97022942637,69166.86621988256,0.0273987399801759,-1.670712737224024,1.1570903545985405
525.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36591.30756818825,-40640.29443099228,69512.42642793678,0.033778162310719,-1.6636682341945748,1.144997830112604
530.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36580.28612780218,-41138.508871416634,69854.37851271195,0.0400495149180124,-1.6566555100865803,1.1330478622028313
535.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36567.398704127736,-41634.6230728785,70192.7647844581,0.0462155506744226,-1.6496744134184067,1.121237287422041
540.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36552.676506767144,-42128.64651010269,70527.62661854633,0.0522789272773278,-1.642724780404961,1.1095630392239504
545.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36536.14996133051,-42620.58860683577,70859.00448398417,0.058242211354398,-1.6358064360691895,1.0980221441961526
550.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36517.84873617504,-43110.45873265253,71186.9379708263,0.0641078823579832,-1.6289191952708042,1.0866117184689084
555.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36497.801768016296,-43598.26620005141,71511.46581653359,0.0698783362603001,-1.6220628636585512,1.0753289642901829
560.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36476.037286458835,-44084.02026182287,71832.62593132636,0.0755558890615827,-1.615237238551836,1.0641711667581049
565.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36452.5828375027,-44567.73010867286,72150.45542258161,0.0811427801221168,-1.608442109756954,1.05313569070235
570.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36427.46530605465,-45049.404867096586,72464.99061831328,0.0866411753291236,-1.6016772603228475,1.042219977706671
575.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36400.710937542135,-45529.0535974473,72776.26708978094,0.0920531701063103,-1.5949424672409354,1.031421543265099
580.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36372.345358622806,-46006.68529222613,73084.31967326281,0.0973807922768977,-1.5882375020930857,1.020737974064882
585.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36342.393597077054,-46482.30887454145,73389.18249103242,0.1026260047869129,-1.5815621316516333,1.0101669253896024
590.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36310.88010086875,-46955.933196769285,73690.88897157223,0.1077907082984669,-1.5749161184348583,0.9997061186362792
595.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36277.82875648832,-47427.56703934002,73989.47186905897,0.1128767436577406,-1.568299221221334,0.9893533389406736
600.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36243.26290654412,-47897.21910969744,74284.96328215167,0.1178858942469505,-1.5617111955259837,0.9791064329052802
605.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36207.20536667837,-48364.89804138316,74577.39467211216,0.1228198882252628,-1.5551517940407489,0.9689633064248856
610.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36169.67844180375,-48830.61239326604,74866.79688028732,0.127680400665899,-1.5486207670422754,0.9589219226047846
615.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36130.70394175423,-49294.37064885858,75153.20014497987,0.1324690555930266,-1.5421178627692065,0.9489802997670768
620.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36090.303196295485,-49756.18121577407,75436.63411773274,0.1371874279264418,-1.535642827771036,0.9391365095407156
625.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36048.49706960223,-50216.052425257214,75717.12787905325,0.1418370453364835,-1.5291954072307254,0.9293886750312031
630.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-36005.30597414869,-50673.99253183916,75994.70995359842,0.1464193900163397,-1.522775345262795,0.919734969066061
635.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-35960.749884130855,-51130.00971304046,76269.40832484527,0.1509359003732564,-1.5163823851888398,0.9101736125124428
640.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-35914.84834834679,-51584.11206918663,76541.25044926604,0.1553879726457583,-1.5100162697918402,0.9007028726634269
645.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-35867.620502631646,-52036.30762327699,76810.26327002962,0.1597769624485049,-1.5036767415509251,0.8913210616896817
650.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-35819.0850818213,-52486.604320931736,77076.47323024645,0.1641041862498603,-1.4973635428578962,0.882026535153512
655.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-35769.260431294235,-52935.01003039509,77339.90628577798,0.1683709227847611,-1.491076416216804,0.8728176905822514
660.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-35718.16451809161,-53381.53254259959,77600.58791762505,0.1725784144066541,-1.4848151044277806,0.8636929660983039
665.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-35665.814941642806,-53826.179571281726,77858.54314391424,0.1767278683813589,-1.4785793507562044,0.8546508391032004
670.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-35612.22894411419,-54268.958753144376,78113.7965314967,0.1808204581256592,-1.472368899088252,0.8456898250131628
675.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-35557.42342038649,-54709.877648068454,78366.37220717447,0.1848573243937102,-1.46618349407375,0.8368084760438574
680.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-35501.414927681086,-55148.94373936798,78616.29386857,0.1888395764136527,-1.4600228812572127,0.8280053800420718
685.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-35444.21969487315,-55586.164434068065,78863.58479465089,0.1927682929762545,-1.453886807197981,0.8192791593622274
690.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-35385.853631468744,-56021.547063229176,79108.26785592457,0.1966445234788916,-1.4477750195800887,0.8106284697857101
695.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-35326.33233626227,-56455.098882310325,79350.36552431439,0.2004692889268961,-1.441687267312588,0.8020519994810963
700.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-35265.67110572209,-56886.827071545886,79589.8998827297,0.2042435828934304,-1.4356233006210932,0.793548468003509
705.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-35203.88494209289,-57316.7387363507,79826.89263434116,0.2079683724404416,-1.4295828711311138,0.7851166253313399
710.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-35140.98856121241,-57744.8409077578,80061.36511157248,0.2116445990028797,-1.423565731943652,0.7767552509387191
715.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-35076.99640007641,-58171.14054287214,80293.33828481878,0.2152731792373288,-1.4175716377037213,0.7684631529022141
720.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-35011.922624149985,-58595.6445253458,80522.83277090137,0.2188550058369893,-1.4116003446622218,0.7602391670402469
725.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-34945.78113445488,-59018.3596658633,80749.86884127022,0.2223909483141286,-1.4056516107316737,0.7520821560838211
730.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-34878.58557440059,-59439.29270265612,80974.4664299606,0.2258818537524403,-1.3997251955361534,0.7439910088772735
735.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-34810.34933641448,-59858.45030202063,81196.64514131492,0.2293285475296226,-1.3938208604559414,0.735964639607732
740.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-34741.08556835078,-60275.83905885265,81416.42425747725,0.2327318340121863,-1.3879383686671851,0.7280019870621014
745.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-34670.807179694704,-60691.46549719438,81633.82274566936,0.2360924972235582,-1.3820774851769229,0.7201020139104186
750.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-34599.52684758286,-61105.33607078278,81848.85926525411,0.2394113014863599,-1.376237976853898,0.7122637060144813
755.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-34527.25702260297,-61517.45716362503,82061.55217459665,0.2426889920410311,-1.3704196124552304,0.7044860717607125
760.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-34454.00993445004,-61927.8350905602,82271.91953772769,0.2459262956402575,-1.364622162649532,0.6967681414162437
765.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-34379.79759737913,-62336.476097841565,82479.97913081746,0.2491239211217534,-1.358845400036488,0.6891089665073286
