,satellite_number,intl_designator_launch_year,intl_designator_launch_number,epoch_year,epoch_day,first_derivative_mean_motion,second_derivative_mean_motion,bstar_drag,ephemeris_type,element_set_number,eccentricity,mean_motion_revs_per_day,revolution_number_at_epoch,epoch_unix,inclination_sin,inclination_cos,raan_sin,raan_cos,arg_perigee_sin,arg_perigee_cos,mean_anomaly_sin,mean_anomaly_cos
eccentricity,,,,-0.3360753932690414,0.0012610807676983133,0.2708712636439423,0.30839825063350784,0.12247258676023573,,,1.0,0.2834936141455914,0.11425661945059025,-0.336041659639923,-0.18400596979698974,0.18403415852283875,0.009442821081175494,-0.009357439835059628,0.007492603639001008,-0.0029021196554898094,-0.011641576747479994,-0.00046709014525141216
mean_motion_revs_per_day,,,,-0.7162475015203832,-0.039379943417735,0.2630791473273744,0.06364942252429034,-0.0830583917234381,,,0.2834936141455914,1.0,0.027296971553919823,-0.7177618338924977,-0.20479742845170984,0.2048738297487156,-0.003487570893642507,0.0033488075395248108,-0.04189567058468128,-0.047221546520455474,-0.026918308645208167,-0.026643262126269752
revolution_number_at_epoch,,,,0.1274404035785409,-0.03579682487165373,-0.07564582255475036,-0.02886243926559444,-0.01653064984012755,,,0.11425661945059025,0.027296971553919823,1.0,0.12608591613029854,0.44781945170899273,-0.4479019734564948,-0.0014490589164808936,0.004987578658240042,-0.008825861043619458,0.05196726965724238,0.029618847072439274,-0.0024508029799157104
epoch_unix,,,,0.9992765455904865,0.018425441510128617,-0.40044537328277796,-0.03175641618657136,-0.1696021138949585,,,-0.336041659639923,-0.7177618338924977,0.12608591613029854,1.0,0.5121643787968738,-0.5122097840390052,0.00067219109939428,0.0004624057826486416,0.0386081863397914,0.05471069573340594,0.021454150264280967,0.02697960616497334
inclination_sin,,,,0.5113161187474006,0.021610698983662205,-0.3865055530826889,-0.046892935548596436,-0.3001491300469981,,,-0.18400596979698974,-0.20479742845170984,0.44781945170899273,0.5121643787968738,1.0,-0.9999999328502643,-0.0038234637284051748,0.0379317327493496,0.04725836432141068,0.061291256913389706,0.02797964701627186,0.019862028962403466
inclination_cos,,,,-0.511361709602018,-0.021605562923182532,0.38650901829966744,0.0469007936642837,0.3001414369468748,,,0.18403415852283875,0.2048738297487156,-0.4479019734564948,-0.5122097840390052,-0.9999999328502643,1.0,0.0038313766009073634,-0.03797081164171505,-0.04726084071941649,-0.06129085064055396,-0.02798661466525899,-0.019862705227197994
raan_sin,,,,0.0013701083063490723,-0.018349417889076854,-0.01814085827034827,0.008292778663258562,-0.012810267515986106,,,0.009442821081175494,-0.003487570893642507,-0.0014490589164808936,0.00067219109939428,-0.0038234637284051748,0.0038313766009073634,1.0,0.009456814718945428,0.07849917007649483,-0.013207059961206337,-0.005016095177510742,0.043503089827773886
raan_cos,,,,0.0014305763425562638,-0.025481104111232878,0.04283035963770077,-0.023211881257037912,0.04957238151576768,,,-0.009357439835059628,0.0033488075395248108,0.004987578658240042,0.0004624057826486416,0.0379317327493496,-0.03797081164171505,0.009456814718945428,1.0,0.0016142507389539987,-0.07779429125676597,-0.04988120755215934,0.006582806184808467
arg_perigee_sin,,,,0.037199261524802026,0.037066928207931914,-0.012491189317865775,0.021576299424069672,-0.013803992407181654,,,0.007492603639001008,-0.04189567058468128,-0.008825861043619458,0.0386081863397914,0.04725836432141068,-0.04726084071941649,0.07849917007649483,0.0016142507389539987,1.0,-0.03190082089582897,0.03373633095169058,0.5798844069301473
arg_perigee_cos,,,,0.05522775209627914,-0.013550697193011078,-0.015280647291164086,-0.005242443443626375,0.007887371813357422,,,-0.0029021196554898094,-0.047221546520455474,0.05196726965724238,0.05471069573340594,0.061291256913389706,-0.06129085064055396,-0.013207059961206337,-0.07779429125676597,-0.03190082089582897,1.0,0.5678120812053583,-0.07661388904522004
mean_anomaly_sin,,,,0.020789097730120325,0.017544838436850577,-0.00950457140663377,-0.025026967946821733,0.003801152581398723,,,-0.011641576747479994,-0.026918308645208167,0.029618847072439274,0.021454150264280967,0.02797964701627186,-0.02798661466525899,-0.005016095177510742,-0.04988120755215934,0.03373633095169058,0.5678120812053583,1.0,-0.008494856226265602
mean_anomaly_cos,,,,0.02625300592998709,0.0191129697204738,-0.0064536436367642796,-0.0032245799750226637,-0.00274564541545799,,,-0.00046709014525141216,-0.026643262126269752,-0.0024508029799157104,0.02697960616497334,0.019862028962403466,-0.019862705227197994,0.043503089827773886,0.006582806184808467,0.5798844069301473,-0.07661388904522004,-0.008494856226265602,1.0
