name,norad_id,epoch_tle,t_obs,delta_t_min,incl_deg,raan_deg,ecc,argp_deg,M_deg,mean_motion_rev_per_day,x_sgp4,y_sgp4,z_sgp4,vx_sgp4,vy_sgp4,vz_sgp4,x_true,y_true,z_true,vx_true,vy_true,vz_true,err_x,err_y,err_z,err_vx,err_vy,err_vz,err_norm,horizons_ok
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 16:14:56.665056+00:00,100.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,21289.0759726241,-6916.534661202295,16736.234482878193,-0.7088811230914331,3.0137450419709375,2.1573896860624973,21289.078990843038,-6916.530685033229,16736.2322838948,-0.7088810223087332,3.0137451224420633,2.1573892850012077,-0.003018218936631456,-0.003976169065936119,0.002198983394919196,-1.0078269996327549e-07,-8.047112576292648e-08,4.0106128951222786e-07,0.005454823000013692,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 16:24:56.665056+00:00,110.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,20794.306154286016,-5087.5667401182,17974.279281078136,-0.9394358543885059,3.0795105727041365,1.9671953790773269,20794.30919284689,-5087.562632876419,17974.276924826318,-0.939435768611596,3.079510613930147,1.9671950030863226,-0.003038560873392271,-0.004107241780729964,0.00235625181812793,-8.577690990829723e-08,-4.1226010605299734e-08,3.759910043310555e-07,0.005626207413268323,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 16:34:56.665056+00:00,120.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,20163.006828200152,-3225.1943068273054,19094.29037464725,-1.163735223154841,3.125035501473914,1.7641581482904107,20163.00986508908,-3225.1900946445753,19094.287875155802,-1.1637351529129294,3.1250355029433052,1.7641577995671653,-0.003036888927454129,-0.004212182730043423,0.002499491449270863,-7.024191162052773e-08,-1.469391275321641e-09,3.487232453913691e-07,0.005763040448751659,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 16:44:56.665056+00:00,130.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,19399.371417324648,-1341.6529581961263,20088.958672013825,-1.3803197209977054,3.150037479673985,1.5496129238685146,19399.374486299996,-1341.648795341712,20088.955981437397,-1.3803196523968122,3.150037440126521,1.5496126192457609,-0.003068975347559899,-0.004162854414289541,0.002690576427994529,-6.860089318827534e-08,3.954746397027975e-08,3.0462275368847713e-07,0.005829851462377075,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 16:54:56.665056+00:00,140.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,18508.45392559971,550.6920879601116,20951.798173491552,-1.587781718580348,3.1543669556046923,1.324966952586316,18508.45695777228,550.6963002140957,20951.7953786478,-1.587781666768499,3.1543668773965754,1.3249666798245614,-0.0030321725680551026,-0.004212253984064773,0.002794843752781162,-5.181184903335634e-08,7.82081168715365e-08,2.72761754516182e-07,0.0058947693518233025,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 17:04:56.665056+00:00,150.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,17496.1351802921,2439.4258783035402,21677.186661244916,-1.7847741702571374,3.1380077341515142,1.0916907377042093,17496.138154200624,2439.4301118953854,21677.183778325845,-1.7847741353939417,3.138007617521096,1.0916904984572853,-0.002973908522108104,-0.004233591845149931,0.0028829190705437213,-3.486319566370355e-08,1.1663041821208253e-07,2.392469240497519e-07,0.0059227235438176476,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 17:14:56.665056+00:00,160.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,16369.08397309845,4312.163705901494,22260.40085377446,-1.9700189067624925,3.1010767396777394,0.8513086559466099,16369.08686759131,4312.167932837572,22260.39789965192,-1.9700188889201087,3.1010765851129487,0.8513084516244481,-0.002894492859923048,-0.0042269360783393495,0.00295412253763061,-1.784238379265446e-08,1.5456479074416052e-07,2.0432216174537388e-07,0.005913705901873161,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 17:24:56.665056+00:00,170.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,15134.713358656592,6156.630713961208,22697.64584710183,-2.142314477987551,3.0438229936836922,0.6053893047762208,15134.716152951032,6156.634906480636,22697.642839116743,-2.1423144771407676,3.0438228019044256,0.6053891365316407,-0.002794294439809164,-0.004192519428215746,0.0030079850876063574,-8.467835321823713e-10,1.9177926668945133e-07,1.682445800454957e-07,0.005867987292042913,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 17:34:56.665056+00:00,180.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,13801.132391035833,7960.7406542651315,22986.078696526303,-2.3005435107651744,2.9666258213148597,0.3555356324195525,13801.135065333532,7960.744784285003,22986.07565218521,-2.3005435267219823,2.96662559328809,0.35553550123911104,-0.0026742976988316514,-0.004130019871809054,0.0030443410942098126,1.595680787502829e-08,2.2802676991062754e-07,1.3118044145388197e-07,0.0057859264618044135,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 17:44:56.665056+00:00,190.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,12377.093599022031,9712.673342386557,23123.82602407369,-2.4436795492319288,2.8699923029917045,0.10337490233789043,12377.096134728932,9712.677381713784,23123.822961066107,-2.443679581645863,2.8699920399433396,0.10337480903988872,-0.002535706900744117,-0.004039327226564637,0.003063007581658894,3.2413934203390227e-08,2.6304836486801264e-07,9.329800171320457e-08,0.0056681557296044335,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 17:54:56.665056+00:00,200.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,10871.936519801586,11400.950362030679,23109.99556756807,-2.5707933476837295,2.7545539893918556,-0.14945145686562358,10871.938899107718,11400.954283260164,23109.99250375059,-2.5707933961175797,2.7545536927657426,-0.14945151173559068,-0.0023793061318428954,-0.003921229485058575,0.0030638174794148654,4.843385026376268e-08,2.966261130055159e-07,5.486996709769265e-08,0.005515806005534096,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 18:04:56.665056+00:00,210.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,9295.52762804974,13014.508582379221,22944.681617686212,-2.681058587961693,2.6210628997899073,-0.4012980657006217,9295.529833989875,13014.512359025943,22944.67857086046,-2.681058651878767,2.6210625712254823,-0.4012980818728046,-0.0022059401344449725,-0.0037766467212350108,0.0030468257536995225,6.39170742999795e-08,3.2856442500062144e-07,1.6172182870644036e-08,0.0053303263978087614,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 18:14:56.665056+00:00,220.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,7658.19701366682,14542.771064794439,22628.964319480725,-2.773756995284398,2.4703868254622705,-0.6505258222268538,7658.199142617185,14542.774571273309,22628.961333539522,-2.773757068384464,2.470386477510284,-0.6505257829953341,-0.002128950365658966,-0.003506478869894636,0.0029859412024961784,7.310006600036445e-08,3.479519863347491e-07,-3.923151969953409e-08,0.005073821891751949,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 18:24:56.665056+00:00,230.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,5970.672176552316,15975.714948785542,22164.90284479078,-2.848282828155182,2.303503961563381,-0.8955120949277743,5970.674105763426,15975.718266269576,22164.899920867712,-2.848282916508749,2.3035035866847005,-0.8955120173768182,-0.0019292111101094633,-0.003317484033686924,0.002923923068010481,8.835356712921794e-08,3.748786805424231e-07,-7.755095610129104e-08,0.0048246121013798896,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 18:34:56.665056+00:00,240.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,4244.009320943215,17303.935921733217,21555.52247181282,-2.904146719572784,2.121496892652986,-1.13466083030262,4244.01103751207,17303.93902661805,21555.519626975747,-2.9041468223077436,2.121496493085635,-1.134660714850033,-0.0017165688550448976,-0.0031048848322825506,0.002844837072188966,1.0273495965051893e-07,3.9956735076174255e-07,-1.154525870461498e-07,0.004547528606083647,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 18:44:56.665056+00:00,250.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,2489.522545053487,18518.708892553692,20804.795637997246,-2.940978848321949,1.9255459589815653,-1.3664125252936674,2489.524037308503,18518.711762780455,20804.792888768716,-2.9409789644788082,1.9255455371074088,-1.3664123726277762,-0.0014922550158189551,-0.0028702267627522815,0.002749228529864922,1.1615685924226682e-07,4.2187415649763693e-07,-1.5266589126206043e-07,0.004245383870897838,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 18:54:56.665056+00:00,260.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,718.7113340183619,19612.044506402995,19917.617062477606,-2.9585314207014313,1.7169220327728894,-1.5892540143310439,718.7125915758143,19612.047121523272,19917.61442463028,-2.958531549226545,1.716921591092863,-1.5892538254005935,-0.0012575574523907562,-0.0026151202764594927,0.002637847326695919,1.2852511366290287e-07,4.4168002633071524e-07,-1.8893045039547474e-07,0.0039215485876589505,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 19:04:56.665056+00:00,270.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,-1056.8132246103016,20576.741155795728,18899.77306451465,-2.9566804447391615,1.4969787361193558,-1.8017280203177568,-1056.8122100707842,20576.743496656436,18899.77055330964,-2.9566805844823336,1.4969782773202427,-1.8017277962357017,-0.0010145395174276928,-0.0023408607085002586,0.002511205009795958,1.3974317214504595e-07,4.587991131455027e-07,-2.240820551335787e-07,0.0035798142256613075,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 19:14:56.665056+00:00,280.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,-2825.4030733350223,21406.432163283112,17757.905235002752,-2.9354267808135823,1.2671441347715522,-2.002442418351751,-2825.402308008917,21406.434212265973,17757.902865208307,-2.935426930552823,1.267143661719668,-2.002442160396956,-0.0007653261054656468,-0.0020489828602876514,0.0023697944452578668,1.4973924056249643e-07,4.730518841089548e-07,-2.579547948577954e-07,0.0032249000794187127,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 19:24:56.665056+00:00,290.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,-4575.448226688098,22095.627832295948,16499.46864896554,-2.894896454736226,1.0289119450475288,-2.1900791604596312,-4575.447715310305,22095.62957380507,16499.466434343165,-2.894896613183014,1.0289114606824241,-2.190078870152125,-0.0005113777924634633,-0.0017415091206203215,0.00221462237459491,1.5844678769028064e-07,4.843651046915198e-07,-2.9030750603453725e-07,0.0028633744997615955,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 19:34:56.665056+00:00,300.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,-6295.451776616252,22639.752086063683,15132.684838126097,-2.835340221806262,0.7838322943155235,-2.3634028091821335,-6295.451522414768,22639.75350653179,15132.68279126109,-2.8353403876007035,0.7838318016260231,-2.363402488264175,-0.0002542014835853479,-0.001420468106516637,0.002046865007287124,1.657944412869483e-07,4.926895004198073e-07,-3.209179584295896e-07,0.002504397012045908,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 19:44:56.665056+00:00,310.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,-7974.104409145255,23035.173439830894,13666.489774005844,-2.75713237318523,0.5335020789802744,-2.521268627590429,-7974.10430203688,23035.174506081647,13666.488008349455,-2.757132550794928,0.5335015980337585,-2.521268267886272,-0.00010710837523220107,-0.0010662507520464715,0.0017656563886703225,1.7760969761582146e-07,4.80946515835079e-07,-3.597041571268278e-07,0.002065406825092062,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 19:54:56.665056+00:00,320.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,-9600.35797598046,23279.230079043577,12110.477143450384,-2.660768779198183,0.2795549675847021,-2.6626301733176065,-9600.35813007411,23279.230813257334,12110.475573945278,-2.6607689625197475,0.2795544847968863,-2.662629788077943,0.00015409365005325526,-0.0007342137578234542,0.0015695051060902188,1.8332156459521798e-07,4.827878157809273e-07,-3.8523966372494556e-07,0.0017395864374060983,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 20:04:56.665056+00:00,330.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,-11163.497662564627,23370.24884587938,10474.83722981583,-2.546864167873008,0.02365110046153836,-2.786546344551725,-11163.498075530773,23370.249240797482,10474.835865838202,-2.546864355426545,0.023650618993302987,-2.7865459360215143,0.0004129661465412937,-0.00039491810093750246,0.0013639776279887883,1.8755353670130148e-07,4.814682353741773e-07,-4.085302105494293e-07,0.0014788293729471192,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 20:14:56.665056+00:00,340.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,-12653.212294331137,23307.557968507164,8770.291744040478,-2.4161486411925437,-0.23253345874491502,-2.8921878267417465,-12653.212962302949,23307.558019146956,8770.290593482241,-2.416148831460935,-0.23253393576192335,-2.892187397333384,0.0006679718117084121,-5.063979187980294e-05,0.0011505582369863987,1.9026839126468076e-07,4.770170083379099e-07,-4.294083626454892e-07,0.0013313658349439113,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 20:24:56.665056+00:00,350.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,-14059.662325756897,23091.493401785396,7008.0249801812415,-2.269463436144248,-0.48731746051200914,-2.9788428900945028,-14059.663243301102,23091.493105370417,7008.024049351646,-2.269463627571984,-0.4873179299952527,-2.978842442359775,0.000917544204639853,0.0002964149789477233,0.0009308295957453083,1.9142773632907506e-07,4.694832435592211e-07,-4.4773472795966995e-07,0.00134022122932303,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 20:34:56.665056+00:00,360.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,-15373.545062524814,22723.39868472745,5199.611699390897,-2.1077559426828816,-0.7390253329198383,-3.045922489856144,-15373.546309797595,22723.398010034136,5199.610866949984,-2.1077561220337286,-0.7390258090622597,-3.0459220303947836,0.00124727278125647,0.0006746933140675537,0.0008324409136548638,1.793508470626648e-07,4.761424213794996e-07,-4.594613605135578e-07,0.0016443413069181388,True
